,n_estimators,random_state,n_jobs,criterion,max_depth,avg_score,score_std
0,500.0,0.0,-1.0,entropy,4.0,0.169652861738,0.0131141347491
1,500.0,0.0,-1.0,entropy,7.0,0.122453578959,0.0288658842697
2,500.0,1.0,-1.0,entropy,4.0,0.162063171778,0.051972668139
3,500.0,1.0,-1.0,entropy,7.0,0.153735196031,0.0212352423852
4,500.0,2.0,-1.0,entropy,4.0,0.137632958877,0.0564249682068
5,500.0,2.0,-1.0,entropy,7.0,0.122084436065,0.0388508973574
6,500.0,3.0,-1.0,entropy,4.0,0.138186673218,0.0191098727978
7,500.0,3.0,-1.0,entropy,7.0,0.106905056146,0.0117200666818
8,500.0,4.0,-1.0,entropy,4.0,0.138002101771,0.0323358232154
9,500.0,4.0,-1.0,entropy,7.0,0.138371244666,0.0339508988127
10,500.0,5.0,-1.0,entropy,4.0,0.153919767478,0.0294963954037
11,500.0,5.0,-1.0,entropy,7.0,0.14559179173,0.0385978872395
12,500.0,6.0,-1.0,entropy,4.0,0.153550624584,0.0278290949918
13,500.0,6.0,-1.0,entropy,7.0,0.130227840365,0.00965786741839
14,500.0,7.0,-1.0,entropy,4.0,0.130043268918,0.0389030544552
15,500.0,7.0,-1.0,entropy,7.0,0.0989462232931,0.0104980840743
16,500.0,8.0,-1.0,entropy,4.0,0.153366053137,0.0573685082465
17,500.0,8.0,-1.0,entropy,7.0,0.145776363178,0.0280918798715
18,500.0,9.0,-1.0,entropy,4.0,0.138186673218,0.0191098727978
19,500.0,9.0,-1.0,entropy,7.0,0.106905056146,0.0293705575019
