,feature,fscore,norm_fscore
0,L1_S24_F829,1,4.00337885175e-06
1,L1_S25_F2243,1,4.00337885175e-06
2,L1_S25_F2106,1,4.00337885175e-06
3,L1_S25_F2504,1,4.00337885175e-06
4,L0_S23_F647,1,4.00337885175e-06
5,L1_S25_F2176,1,4.00337885175e-06
6,L3_S40_F3984,1,4.00337885175e-06
7,L1_S25_F2167,1,4.00337885175e-06
8,L1_S24_F1161,1,4.00337885175e-06
9,L3_S41_F4016,2,8.0067577035e-06
10,L1_S24_F1637,2,8.0067577035e-06
11,L1_S24_F1569,2,8.0067577035e-06
12,L3_S33_F3871,2,8.0067577035e-06
13,L2_S27_F3162,2,8.0067577035e-06
14,L1_S25_F2411,2,8.0067577035e-06
15,L1_S24_F1265,3,1.20101365553e-05
16,L1_S25_F1865,3,1.20101365553e-05
17,L1_S24_F1803,3,1.20101365553e-05
18,L1_S24_F978,3,1.20101365553e-05
19,L2_S28_F3259,3,1.20101365553e-05
20,L0_S14_F382,3,1.20101365553e-05
21,L0_S15_F400,3,1.20101365553e-05
22,L2_S28_F3292,4,1.6013515407e-05
23,L1_S25_F3022,4,1.6013515407e-05
24,L2_S28_F3303,4,1.6013515407e-05
25,L1_S24_F953,4,1.6013515407e-05
26,L1_S24_F1822,5,2.00168942588e-05
27,L1_S24_F1270,6,2.40202731105e-05
28,L1_S25_F2007,6,2.40202731105e-05
29,L1_S25_F1978,7,2.80236519623e-05
30,L1_S24_F1386,7,2.80236519623e-05
31,L1_S25_F2081,7,2.80236519623e-05
32,L1_S25_F1929,7,2.80236519623e-05
33,L1_S24_F887,7,2.80236519623e-05
34,L1_S25_F2449,8,3.2027030814e-05
35,L0_S1_F28,8,3.2027030814e-05
36,L1_S25_F2906,8,3.2027030814e-05
37,L0_S15_F394,8,3.2027030814e-05
38,L0_S22_F566,8,3.2027030814e-05
39,L1_S24_F963,9,3.60304096658e-05
40,L3_S41_F4004,10,4.00337885175e-05
41,L1_S25_F2231,10,4.00337885175e-05
42,L0_S23_F671,10,4.00337885175e-05
43,L1_S25_F2842,11,4.40371673693e-05
44,L1_S24_F1102,11,4.40371673693e-05
45,L1_S24_F683,11,4.40371673693e-05
46,L1_S25_F2217,11,4.40371673693e-05
47,L1_S25_F2066,12,4.8040546221e-05
48,L1_S25_F2336,12,4.8040546221e-05
49,L1_S24_F773,12,4.8040546221e-05
50,L1_S25_F2141,13,5.20439250728e-05
51,L1_S24_F1818,13,5.20439250728e-05
52,L2_S28_F3255,13,5.20439250728e-05
53,L1_S24_F802,14,5.60473039245e-05
54,L1_S24_F1512,15,6.00506827763e-05
55,L1_S24_F1260,16,6.4054061628e-05
56,L1_S24_F1036,16,6.4054061628e-05
57,L1_S24_F1068,16,6.4054061628e-05
58,L1_S25_F1963,16,6.4054061628e-05
59,L1_S24_F1235,16,6.4054061628e-05
60,L2_S28_F3233,16,6.4054061628e-05
61,L1_S24_F1004,16,6.4054061628e-05
62,L1_S25_F1997,17,6.80574404798e-05
63,L3_S29_F3491,17,6.80574404798e-05
64,L1_S24_F1166,17,6.80574404798e-05
65,L2_S27_F3131,18,7.20608193315e-05
66,L3_S29_F3482,18,7.20608193315e-05
67,L1_S24_F1026,18,7.20608193315e-05
68,L1_S24_F1180,19,7.60641981833e-05
69,L1_S25_F1968,19,7.60641981833e-05
70,L3_S43_F4080,19,7.60641981833e-05
71,L1_S25_F2487,19,7.60641981833e-05
72,L0_S22_F606,19,7.60641981833e-05
73,L1_S25_F2144,20,8.0067577035e-05
74,L1_S25_F1992,20,8.0067577035e-05
75,L2_S26_F3038,20,8.0067577035e-05
76,L1_S24_F1326,21,8.40709558868e-05
77,L1_S25_F2435,21,8.40709558868e-05
78,L0_S8_F144,22,8.80743347385e-05
79,L1_S25_F1855,22,8.80743347385e-05
80,L1_S24_F1426,22,8.80743347385e-05
81,L1_S25_F2852,22,8.80743347385e-05
82,L1_S24_F1126,22,8.80743347385e-05
83,L1_S24_F1642,22,8.80743347385e-05
84,L1_S25_F1938,23,9.20777135903e-05
85,L1_S24_F1225,23,9.20777135903e-05
86,L1_S25_F2975,25,0.000100084471294
87,L1_S24_F1446,25,0.000100084471294
88,L1_S24_F1016,25,0.000100084471294
89,L1_S24_F1356,25,0.000100084471294
90,L1_S24_F1647,25,0.000100084471294
91,L1_S25_F1890,26,0.000104087850146
92,L3_S30_F3649,26,0.000104087850146
93,L1_S25_F2426,26,0.000104087850146
94,L3_S37_F3950,27,0.000108091228997
95,L1_S25_F2346,27,0.000108091228997
96,L3_S41_F4014,27,0.000108091228997
97,L1_S25_F1881,27,0.000108091228997
98,L3_S47_F4138,27,0.000108091228997
99,L3_S47_F4143,30,0.000120101365553
100,L1_S24_F920,30,0.000120101365553
101,L0_S23_F627,30,0.000120101365553
102,L1_S25_F2787,31,0.000124104744404
103,L1_S24_F1516,31,0.000124104744404
104,L3_S44_F4112,32,0.000128108123256
105,L1_S25_F2385,32,0.000128108123256
106,L1_S24_F988,32,0.000128108123256
107,L1_S24_F857,32,0.000128108123256
108,L0_S14_F374,33,0.000132111502108
109,L0_S21_F507,33,0.000132111502108
110,L1_S24_F1463,34,0.00013611488096
111,L1_S25_F2743,34,0.00013611488096
112,L1_S25_F2751,34,0.00013611488096
