,feature,fscore,norm_fscore
126,L3_S29_F3479,467,0.00204991791549
127,L3_S29_F3318,468,0.00205430746135
128,L0_S0_F22,473,0.00207625519064
129,L3_S29_F3379,476,0.00208942382821
130,L0_S7_F136,478,0.00209820291993
131,L3_S47_F4143,484,0.00212454019507
132,L3_S30_D3496,484,0.00212454019507
133,L3_S29_F3345,505,0.00221672065808
134,L3_S35_D3886,532,0.00233523839624
135,L3_S36_D3919,535,0.00234840703381
136,L3_S30_F3544,537,0.00235718612552
137,L0_S9_F165,555,0.00243619795096
138,L3_S47_F4153,568,0.00249326204711
139,L0_S0_F6,576,0.00252837841397
140,L3_S30_F3769,588,0.00258105296426
141,L3_S29_F3373,592,0.00259861114769
142,L3_S41_F4004,617,0.00270834979413
143,L3_S29_D3474,617,0.00270834979413
144,L3_S41_F4008,627,0.00275224525271
145,L3_S38_F3956,636,0.00279175116542
146,L0_S9_F160,674,0.00295855390801
147,L0_S11_F286,685,0.00300683891245
148,L0_S0_F4,685,0.00300683891245
149,L3_S29_F3348,706,0.00309901937546
150,L3_S47_F4138,707,0.00310340892131
151,L3_S35_F3896,711,0.00312096710474
152,L0_S6_D120,721,0.00316486256332
153,L0_S2_F60,731,0.0032087580219
154,L0_S11_F294,733,0.00321753711361
155,L0_S7_D137,735,0.00322631620533
156,L0_S5_F116,743,0.00326143257219
157,L0_S3_F84,747,0.00327899075562
158,L3_S33_D3856,767,0.00336678167277
159,L0_S11_F310,773,0.00339311894791
160,L3_S36_F3920,776,0.00340628758549
161,L3_S31_F3842,794,0.00348529941092
162,L0_S6_F132,811,0.0035599216905
163,L0_S6_F122,827,0.00363015442422
164,L0_S2_F36,834,0.00366088124523
165,L3_S30_F3829,845,0.00370916624966
166,L3_S30_F3774,847,0.00371794534137
167,L0_S10_F219,850,0.00373111397895
168,L3_S33_F3855,861,0.00377939898338
169,L0_S2_F64,865,0.00379695716681
170,L0_S0_F8,865,0.00379695716681
171,L3_S38_F3952,895,0.00392864354254
172,L0_S4_F104,929,0.0040778881017
173,L3_S29_F3427,942,0.00413495219785
174,L0_S11_F306,969,0.004253469936
175,L3_S48_F4196,978,0.00429297584872
176,L3_S33_F3873,978,0.00429297584872
177,L3_S29_F3339,1003,0.00440271449516
178,L0_S0_F10,1017,0.00446416813716
179,L3_S29_D3316,1096,0.00481094225991
180,L3_S29_F3333,1111,0.00487678544778
181,L0_S9_F180,1132,0.00496896591079
182,L3_S30_F3759,1139,0.00499969273179
183,L3_S29_F3330,1225,0.00537719367554
184,L3_S49_D4208,1229,0.00539475185897
185,L3_S30_D3506,1252,0.0054957114137
186,L3_S30_F3494,1283,0.00563178733528
187,L0_S0_F18,1330,0.00583809599059
188,L3_S29_F3382,1374,0.00603123600832
189,L0_S0_F12,1389,0.00609707919619
190,L3_S29_F3342,1425,0.00625510284706
191,L0_S10_F259,1444,0.00633850421835
192,L0_S1_F24,1475,0.00647458013994
193,L0_S10_F224,1510,0.00662821424495
194,L0_S9_F210,1539,0.00675551107482
195,L3_S30_F3744,1642,0.00720763429816
196,L3_S33_F3865,1651,0.00724714021087
197,L3_S29_F3324,1693,0.00743150113689
198,L3_S44_F4121,1767,0.00775632753035
199,L3_S30_F3804,1810,0.00794507800223
200,L3_S29_F3321,1813,0.0079582466398
201,L3_S31_F3834,1865,0.0081865030244
202,L3_S30_F3524,1889,0.00829185212498
203,L0_S0_F2,2000,0.00877909171517
204,L0_S0_F16,2003,0.00879226035274
205,L3_S30_F3554,2129,0.0093453431308
206,L3_S32_F3854,2227,0.00977551862484
207,L0_S1_F28,2258,0.00991159454643
208,L3_S43_D4062,2295,0.0100740077432
209,L3_S30_F3819,2374,0.0104207818659
210,L0_S0_F0,2378,0.0104383400493
211,L3_S30_F3754,2408,0.0105700264251
212,L3_S29_F3336,2497,0.0109606960064
213,L3_S38_F3960,2511,0.0110221496484
214,L3_S29_F3407,2597,0.0113996505921
215,L0_S0_F20,2608,0.0114479355966
216,L0_S5_D115,2779,0.0121985479382
217,L3_S30_F3794,2833,0.0124355834145
218,L3_S29_F3327,2844,0.012483868419
219,L3_S34_D3875,2954,0.0129667184633
